comparison,group1,group2,metric,t_statistic,p_value,significant,effect_size,mean_diff,group1_mean,group2_mean,group1_std,group2_std,group1_n,group2_n,model_type,feature_selection
data_type_within_RF_PCA,fimo,reg,accuracy,-3.5289946303282145,0.012554104300828341,True,-2.231932176468216,-0.06957861978336799,0.8454752693253056,0.9150538891086736,0.03927081548457777,0.02003646819404845,5,5,RF,PCA
data_type_within_RF_PCA,deep,rp,accuracy,5.56450820860946,0.0005333703086429237,True,3.5193039995818527,0.09555039210031713,0.8882252680432167,0.7926748759428995,0.02676162832017415,0.02753361602289669,5,5,RF,PCA
data_type_within_RF_PCA,deep,reg,accuracy,-1.7944503690583564,0.11345051164928283,False,-1.1349100628708289,-0.026828621065456915,0.8882252680432167,0.9150538891086736,0.02676162832017415,0.02003646819404845,5,5,RF,PCA
data_type_within_RF_PCA,rp,reg,accuracy,-8.03609983129096,7.002709749115134e-05,True,-5.082475794274857,-0.12237901316577404,0.7926748759428995,0.9150538891086736,0.02753361602289669,0.02003646819404845,5,5,RF,PCA
data_type_within_RF_PCA,fimo,deep,f1,-1.8266264597472983,0.10736955806121781,False,-1.1552600094262675,-0.04212597891786252,0.8409531243932987,0.8830791033111612,0.04064740975564988,0.031734959257189256,5,5,RF,PCA
data_type_within_RF_PCA,fimo,rp,f1,2.463840230816688,0.04180106457582895,True,1.558269384027143,0.05540668526529091,0.8409531243932987,0.7855464391280078,0.04064740975564988,0.02960278294996677,5,5,RF,PCA
data_type_within_RF_PCA,fimo,reg,f1,-3.679481165136285,0.010141469424664044,True,-2.3271082179041587,-0.07561508695655672,0.8409531243932987,0.9165682113498554,0.04064740975564988,0.02143357795905327,5,5,RF,PCA
data_type_within_RF_PCA,deep,rp,f1,5.025277760449512,0.0010350464630035333,True,3.1782647196020952,0.09753266418315343,0.8830791033111612,0.7855464391280078,0.031734959257189256,0.02960278294996677,5,5,RF,PCA
data_type_within_RF_PCA,deep,reg,f1,-1.9554498164756706,0.09130868079527434,False,-1.236735054044274,-0.033489108038694204,0.8830791033111612,0.9165682113498554,0.031734959257189256,0.02143357795905327,5,5,RF,PCA
data_type_within_RF_PCA,rp,reg,f1,-8.016231780953444,7.2201779109609e-05,True,-5.06991013592817,-0.13102177222184763,0.7855464391280078,0.9165682113498554,0.02960278294996677,0.02143357795905327,5,5,RF,PCA
